Name,Type,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Habitat,Power,Size,Weight Class,Diet,Evolution Stage,Movement,Combat,Narrative
Budew,Grass|Poison,4,3,4,6,7,6,"Forest, Grasslands",1,Small,1,Phototroph,1,,Underdog,
Roselia,Grass|Poison,5,6,5,10,8,7,"Forest, Grasslands",2,Small,1,Phototroph,2,,Underdog,Alluring
Roserade,Grass|Poison,6,7,7,13,11,9,"Forest, Grasslands",4,Small,1,Phototroph,3,,,Alluring
Bounsweet,Grass,5,5,6,4,6,4,Forest,1,Small,1,Phototroph,1,Slow,Underdog,Alluring
Steenee,Grass,7,7,7,5,7,7,Forest,3,Small,1,Phototroph,2,,Underdog,Alluring
Tsareena,Grass,7,12,10,5,10,7,Forest,5,Medium,2,Phototroph,3,,,Alluring
Smoliv,Grass|Normal,5,4,6,6,6,3,Grasslands,1,Small,1,Phototroph,1,Slow,Underdog,Repulsive
Dolliv,Grass|Normal,5,5,6,10,9,3,Grasslands,2,Small,2,Phototroph,2,,Underdog,Alluring
Arboliva,Grass|Normal,8,7,9,13,11,4,Grasslands,4,Medium,3,Phototroph,3,,,Alluring|Mender
Rhyhorn,Ground|Rock,8,9,10,3,3,3,Mountain,6,Medium,5,Herbivore,1,,Mountable|Underdog,Tracker
Rhydon,Ground|Rock,11,13,13,5,5,4,Mountain,8,Large,5,Herbivore,2,,Mountable,Tracker
Rhyperior,Ground|Rock,12,14,14,6,6,4,Mountain,11,Large,5,Herbivore,3,,Groundshaper|Mountable,Tracker
Trapinch,Ground,5,10,5,5,5,1,Desert,2,Small,2,Carnivore,1,Burrower,Underdog,
Vibrava,Ground|Dragon,6,8,6,6,6,8,Desert,2,Medium,2,Carnivore,2,Burrower|Flier,Underdog,
Flygon,Ground|Dragon,8,10,8,8,8,10,Desert,7,Large,4,Carnivore,3,Flier,Mountable,
Sandile,Ground|Dark,5,7,4,4,4,7,Desert,3,Small,2,Carnivore,1,,Darkvision|Underdog,
Krokorok,Ground|Dark,6,8,5,5,5,7,Desert,5,Medium,3,Carnivore,2,,Darkvision|Underdog,
Krookodile,Ground|Dark,10,12,8,7,7,9,Desert,7,Medium,4,Carnivore,3,,Darkvision|Groundshaper,
Swinub,Ice|Ground,7,6,6,3,3,5,Tundra,1,Small,1,Herbivore,1,Slow,Underdog,Tremorsense
Piloswine,Ice|Ground,10,10,8,6,6,5,Tundra,4,Medium,4,Herbivore,2,,Mountable|Underdog,Tremorsense
Mamoswine,Ice|Ground,11,13,8,7,6,8,Tundra,10,Large,6,Omnivore,3,,Mountable,Tremorsense
Spheal,Ice|Water,7,4,5,6,5,3,"Ocean, Tundra",1,Small,3,Herbivore,1,Swimmer,Underdog,
Sealeo,Ice|Water,9,6,7,8,7,5,"Ocean, Tundra",4,Medium,4,Herbivore,2,Swimmer,Underdog,
Walrein,Ice|Water,11,8,9,10,9,7,"Ocean, Tundra",7,Large,5,Omnivore,3,Swimmer,Mountable,
Vanillite,Ice,4,5,5,7,6,5,Tundra,1,Small,1,Terravore,1,Flier,Underdog,Chilled
Vanillish,Ice,5,7,7,8,8,6,Tundra,2,Medium,3,Terravore,2,Flier,Underdog,Chilled
Vanilluxe,Ice,7,10,9,11,10,8,Tundra,3,Medium,4,Terravore,3,Flier,,Chilled
Pidgey,Normal|Flying,5,5,4,5,4,7,Grasslands,1,Small,1,Omnivore,1,Flier,Underdog,
Pidgeotto,Normal|Flying,6,6,6,6,5,8,Grasslands,3,Medium,3,Carnivore,2,Flier,Underdog,
Pidgeot,Normal|Flying,8,9,8,9,7,10,Grasslands,5,Medium,3,Carnivore,3,Flier|Quick,Mountable,
Igglybuff,Normal|Fairy,9,3,2,4,2,2,"Grasslands, Urban",1,Small,1,Herbivore,1,Slow,Underdog,
Jigglypuff,Normal|Fairy,12,6,3,6,3,3,"Grasslands, Urban",1,Small,1,Herbivore,2,,Underdog,
Wigglytuff,Normal|Fairy,15,8,6,10,6,6,"Grasslands, Urban",3,Medium,2,Herbivore,3,,,
Happiny,Normal,15,1,1,3,7,3,"Grasslands, Urban",1,Small,2,Herbivore,1,Slow,Underdog,
Chansey,Normal,25,1,1,4,11,5,"Grasslands, Urban",1,Medium,3,Herbivore,2,,,Mender
Blissey,Normal,26,1,1,8,14,6,"Grasslands, Urban",3,Medium,3,Herbivore,3,,,Empath|Mender
Porygon,Normal,7,6,7,9,8,4,Urban,2,Small,3,Ergovore,1,Flier,Underdog,Breathless|Wired
Porygon2,Normal,9,8,9,11,10,6,Urban,2,Small,3,Ergovore,2,Flier,,Breathless|Wired
Porygon-Z,Normal,9,8,7,14,8,9,Urban,2,Small,3,Ergovore,3,Flier,,Breathless|Wired
Slakoth,Normal,7,6,6,4,4,3,Forest,3,Small,2,Herbivore,1,Climber|Slow,Truant|Underdog,
Vigoroth,Normal,8,8,8,6,6,9,Forest,4,Medium,3,Omnivore,2,Climber|Quick,Underdog,
Slaking,Normal,15,16,10,10,7,10,Forest,9,Large,6,Omnivore,3,,Truant,
Whismur,Normal,7,5,5,5,4,4,Cave,1,Small,2,Herbivore,1,Slow,Underdog,
Loudred,Normal,9,7,5,7,5,5,Cave,4,Medium,3,Herbivore,2,,Underdog,
Exploud,Normal,10,10,7,10,7,7,Cave,6,Medium,4,Herbivore,3,,,
Starly,Normal|Flying,5,7,4,4,4,6,Grasslands,1,Small,1,Herbivore,1,Flier,Underdog,
Staravia,Normal|Flying,7,9,6,4,4,8,Grasslands,3,Small,2,Carnivore,2,Flier|Quick,Underdog,
Staraptor,Normal|Flying,9,12,9,5,6,10,Grasslands,5,Medium,2,Carnivore,3,Flier|Quick,Mountable,
Lillipup,Normal,5,6,5,3,5,6,"Grasslands, Urban",2,Small,1,Omnivore,1,,Underdog,Tracker
Herdier,Normal,7,8,7,4,7,6,"Grasslands, Urban",4,Small,2,Omnivore,2,,Underdog,Tracker
Stoutland,Normal,9,11,9,5,9,8,"Grasslands, Urban",5,Medium,4,Omnivore,3,,Mountable,Tracker
Pidove,Normal|Flying,6,6,5,4,3,6,Urban,1,Small,1,Herbivore,1,Flier,Underdog,
Tranquill,Normal|Flying,7,8,6,5,4,7,Urban,3,Small,2,Carnivore,2,Flier,Underdog,
Unfezant,Normal|Flying,8,12,8,8,6,9,Urban,5,Medium,3,Carnivore,3,Flier|Quick,,
Pikipek,Normal|Flying,5,8,4,3,3,7,Grasslands,1,Small,1,Herbivore,1,Flier,Underdog,
Trumbeak,Normal|Flying,6,9,5,4,5,8,Grasslands,2,Small,2,Herbivore,2,Flier,Underdog,
Toucannon,Normal|Flying,8,12,8,8,8,7,Grasslands,4,Medium,3,Herbivore,3,Flier,,
Nidoran F,Poison,6,5,5,5,5,4,Grasslands,2,Small,1,Herbivore,1,,Underdog,
Nidorina,Poison,7,6,7,6,6,6,Grasslands,5,Small,2,Herbivore,2,,Underdog,
Nidoqueen,Poison|Ground,9,9,9,8,9,8,Grasslands,8,Medium,4,Omnivore,3,,Groundshaper|Mountable,Pack Mon
Nidoran M,Poison,5,6,4,5,4,6,Grasslands,2,Small,1,Herbivore,1,,Underdog,
Nidorino,Poison,6,7,6,6,6,7,Grasslands,5,Small,2,Omnivore,2,,Underdog,
Nidoking,Poison|Ground,8,10,8,9,8,9,Grasslands,9,Medium,4,Omnivore,3,,Groundshaper|Mountable,Pack Mon
Zubat,Poison|Flying,5,6,4,3,4,8,Cave,1,Small,1,Carnivore,1,Flier,Blindsense|Underdog,Tracker
Golbat,Poison|Flying,8,8,7,7,8,9,Cave,3,Medium,4,Carnivore,2,Flier,Darkvision,Tracker
Crobat,Poison|Flying,9,9,8,7,8,13,Cave,5,Medium,4,Carnivore,3,Flier|Quick,Darkvision,Tracker
Abra,Psychic,3,2,2,11,6,9,Urban,2,Small,2,Omnivore,1,Slow|Teleporter,Telekinetic|Underdog,Telepath
Kadabra,Psychic,4,4,3,12,7,11,Urban,3,Medium,4,Omnivore,2,Teleporter,Telekinetic|Underdog|Wielder (Arcane),Telepath
Alakazam,Psychic,6,5,5,14,10,12,Urban,4,Medium,3,Omnivore,3,Teleporter,Telekinetic|Wielder (Arcane),Telepath
Ralts,Psychic|Fairy,4,4,4,7,6,5,Urban,1,Small,1,Omnivore,1,Slow|Teleporter,Telekinetic|Underdog,Empath|Telepath
Kirlia,Psychic|Fairy,5,5,5,9,8,6,Urban,2,Small,2,Omnivore,2,Teleporter,Telekinetic|Underdog,Empath|Premonition|Telepath
Gardevoir,Psychic|Fairy,7,7,7,13,12,8,Urban,4,Medium,3,Omnivore,3,Teleporter,Telekinetic,Empath|Premonition|Telepath
Gallade,Psychic|Fighting,7,13,7,7,12,8,Urban,7,Medium,4,Omnivore,3,Quick|Teleporter,Telekinetic,Aura Reader|Empath|Telepath
Gothita,Psychic,5,3,5,6,7,5,Urban,1,Small,1,Herbivore,1,Slow,Telekinetic|Underdog,Telepath|True Sight
Gothorita,Psychic,6,5,7,8,9,6,Urban,3,Small,2,Herbivore,2,,Telekinetic|Underdog,Telepath|True Sight
Gothitelle,Psychic,7,6,10,10,11,7,Urban,4,Medium,2,Herbivore,3,,Telekinetic,Premonition|Telepath|True Sight
Solosis,Psychic,5,3,4,11,5,2,"Space, Urban",1,Small,1,Herbivore,1,Flier,Telekinetic|Underdog,Amorphous|Telepath
Duosion,Psychic,7,4,5,13,6,3,"Space, Urban",2,Small,1,Omnivore,2,Flier,Telekinetic|Underdog,Amorphous|Telepath
Reuniclus,Psychic,11,7,8,13,9,3,"Space, Urban",7,Medium,2,Omnivore,3,Flier,Telekinetic,Amorphous|Telepath
Hatenna,Psychic,5,3,6,6,6,4,Forest,1,Small,1,Herbivore,1,,Telekinetic|Underdog,Empath|Telepath
Hattrem,Psychic,6,4,7,9,7,5,Forest,1,Small,1,Herbivore,2,,Telekinetic|Underdog,Empath|Telepath
Hatterene,Psychic|Fairy,6,9,10,14,10,3,Forest,3,Large,1,Herbivore,3,Flier|Slow|Teleporter,Telekinetic,Empath|Illusionist|Telepath
Geodude,Rock|Ground,4,8,10,3,3,2,"Cave, Mountain",3,Small,2,Terravore,1,Flier,Underdog,
Graveler,Rock|Ground,6,10,12,5,5,4,"Cave, Mountain",8,Medium,5,Terravore,2,Burrower,Underdog,
Golem,Rock|Ground,8,12,13,6,7,5,"Cave, Mountain",10,Medium,6,Terravore,3,Burrower,Groundshaper,
Larvitar,Rock|Ground,5,6,5,5,5,4,"Cave, Mountain",7,Small,4,Terravore,1,Burrower|Slow,Darkvision|Underdog,
Pupitar,Rock|Ground,7,8,7,7,7,5,"Cave, Mountain",8,Medium,5,Terravore,2,Burrower|Slow,Darkvision|Underdog,
Tyranitar,Rock|Dark,10,13,11,10,10,6,"Cave, Mountain",11,Large,6,"Carnivore, Terravore",3,,Darkvision,
Roggenrola,Rock,6,8,9,3,3,2,"Cave, Mountain",3,Small,2,Terravore,1,Slow,Underdog,
Boldore,Rock,7,11,11,5,4,2,"Cave, Mountain",8,Medium,5,Terravore,2,,Underdog,
Gigalith,Rock,9,14,13,6,8,3,"Cave, Mountain",12,Large,6,Terravore,3,,,
Rolycoly,Rock,4,5,7,5,5,4,Cave,3,Small,2,Terravore,1,,Darkvision|Underdog,
Carkol,Rock|Fire,8,6,9,6,7,5,Cave,5,Medium,4,Terravore,2,,Darkvision|Underdog,Glow|Heater
Coalossal,Rock|Fire,11,8,12,8,9,3,Cave,10,Huge,6,Terravore,3,,Darkvision,Glow|Heater
Nacli,Rock,6,6,8,4,4,3,"Cave, Mountain",3,Small,2,Terravore,1,Burrower|Slow,Underdog,Breathless
Naclstack,Rock,6,6,10,4,7,4,"Cave, Mountain",8,Small,5,Terravore,2,Burrower,Underdog,Breathless
Garganacl,Rock,10,10,13,5,9,4,"Cave, Mountain",12,Large,6,Terravore,3,Burrower,,Breathless
Aron,Steel|Rock,5,7,10,4,4,3,"Cave, Mountain",5,Small,4,Terravore,1,Slow,Underdog,
Lairon,Steel|Rock,6,9,14,5,5,4,"Cave, Mountain",9,Medium,5,Terravore,2,,Underdog,
Aggron,Steel|Rock,7,11,18,6,6,5,"Cave, Mountain",13,Large,6,Terravore,3,,,
Beldum,Steel|Psychic,4,6,8,4,6,3,Urban,5,Small,4,Omnivore,1,Climber|Flier,Underdog,Breathless|Magnetic
Metang,Steel|Psychic,6,8,10,6,8,5,Urban,9,Medium,6,Omnivore,2,Climber|Flier,Mountable|Underdog,Breathless|Magnetic
Metagross,Steel|Psychic,8,14,13,10,9,7,"Tundra, Urban",14,Large,6,Omnivore,3,Climber|Flier,Mountable,Breathless|Magnetic
Klink,Steel,4,6,7,5,6,3,Urban,3,Small,2,Terravore,1,Flier|Slow,Underdog,Breathless
Klang,Steel,6,8,10,7,9,5,Urban,5,Small,4,Terravore,2,Flier,Underdog,Breathless
Klinklang,Steel,6,10,12,8,9,9,Urban,7,Small,4,Terravore,3,Flier,,Breathless
Honedge,Steel|Ghost,5,8,10,4,4,3,Urban,2,Small,1,Nullivore,1,Flier|Phaser,Invisibility|Living Weapon|Underdog,Breathless|Dead Silent
Doublade,Steel|Ghost,6,11,15,5,5,3,Urban,3,Small,1,Nullivore,2,Flier|Phaser,Invisibility|Living Weapon|Underdog,Breathless|Dead Silent
Aegislash,Steel|Ghost,6,5,15,5,15,6,Urban,5,Medium,4,Nullivore,3,Flier|Phaser,Invisibility|Living Weapon,Breathless|Dead Silent
Poliwag,Water,4,5,4,4,4,9,Wetlands,2,Small,2,Herbivore,1,Slow|Swimmer,Underdog,Gilled
Poliwhirl,Water,7,7,7,5,5,9,Wetlands,4,Medium,2,Omnivore,2,Swimmer,Underdog,Gilled
Poliwrath,Water|Fighting,9,10,10,7,9,7,Wetlands,5,Medium,4,Omnivore,3,Swimmer,,Gilled
Politoed,Water,9,8,8,9,10,7,Wetlands,4,Medium,2,Omnivore,3,Jumper|Swimmer,,Gilled
Horsea,Water,3,4,7,7,3,6,Wetlands,1,Small,1,Omnivore,1,Swimmer,Underdog,Gilled
Seadra,Water,6,7,10,10,5,7,Wetlands,3,Medium,2,Omnivore,2,Swimmer,Underdog,Gilled
Kingdra,Water|Dragon,8,10,10,10,10,9,Wetlands,6,Medium,5,Omnivore,3,Quick|Swimmer,Mountable,Gilled
Azurill,Normal|Fairy,5,2,4,2,4,2,Wetlands,1,Small,1,Herbivore,1,Jumper|Slow|Swimmer,Underdog,
Marill,Water|Fairy,7,3,6,3,6,5,Wetlands,2,Small,1,Herbivore,2,Jumper|Swimmer,Underdog,
Azumarill,Water|Fairy,10,5,8,6,8,5,Wetlands,2,Small,3,Herbivore,3,Jumper|Swimmer,Underdog,
Lotad,Water|Grass,6,4,4,6,6,4,"Forest, Wetlands",1,Small,1,Herbivore,1,Swimmer,Underdog,
Lombre,Water|Grass,7,6,5,8,7,5,"Forest, Wetlands",3,Medium,3,Herbivore,2,Swimmer,Underdog,
Ludicolo,Water|Grass,8,7,8,10,11,7,"Forest, Wetlands",5,Medium,4,Herbivore,3,Swimmer,,
Tympole,Water,6,5,4,5,4,6,Wetlands,1,Small,1,Herbivore,1,Slow|Swimmer,Underdog,Gilled
Palpitoad,Water|Ground,8,7,6,7,6,7,Wetlands,3,Small,2,Omnivore,2,Swimmer,Underdog,Gilled
Seismitoad,Water|Ground,11,10,8,9,8,7,Wetlands,6,Medium,4,Omnivore,3,Swimmer,Groundshaper,Gilled
Paras,Bug|Grass,4,7,6,5,6,3,"Cave, Forest",1,Small,1,"Herbivore, Phototroph",2,Climber|Slow,Darkvision|Underdog,
Parasect,Bug|Grass,6,10,8,9,8,3,"Cave, Forest",3,Medium,3,"Herbivore, Phototroph",3,Climber,Darkvision|Underdog,Mindlock
Venonat,Bug|Poison,6,6,5,4,6,5,Forest,1,Medium,3,Herbivore,2,,Underdog,
Venomoth,Bug|Poison,8,7,7,10,9,10,Forest,2,Medium,2,Herbivore,3,Flier,,
Scyther,Bug|Flying,7,11,8,6,8,11,"Forest, Grasslands",6,Medium,4,Carnivore,2,Flier|Jumper|Quick,,
Scizor,Bug|Steel,7,13,10,6,8,7,"Forest, Grasslands",6,Medium,5,Carnivore,3,Flier|Jumper|Quick,,
Kleavor,Bug|Rock,7,13,10,6,7,8,"Forest, Grasslands",6,Medium,4,Carnivore,3,Jumper|Quick,,
Ledyba,Bug|Flying,5,3,3,5,8,6,Forest,2,Medium,1,Herbivore,2,Climber|Flier,Underdog,
Ledian,Bug|Flying,6,4,5,6,11,9,Forest,4,Medium,3,Herbivore,3,Climber|Flier,Underdog,
Spinarak,Bug|Poison,5,6,5,4,5,5,Forest,1,Small,1,Carnivore,2,Climber|Slow,Darkvision|Threaded|Underdog,
Ariados,Bug|Poison,7,9,7,6,7,4,Forest,3,Medium,3,Carnivore,3,Climber,Darkvision|Threaded|Underdog,
Yanma,Bug|Flying,7,7,5,8,5,10,"Forest, Wetlands",3,Medium,3,Carnivore,2,Climber|Flier,Underdog,
Yanmega,Bug|Flying,9,8,9,12,6,10,"Forest, Wetlands",5,Large,3,Carnivore,3,Climber|Flier|Quick,,
Pineco,Bug,5,7,9,4,4,2,Forest,3,Small,1,Herbivore,2,Slow,Underdog,
Forretress,Bug|Steel,9,9,16,6,7,4,Forest,6,Medium,5,Herbivore,3,Flier,,
Surskit,Bug|Water,4,4,4,5,5,8,Wetlands,1,Small,1,Herbivore,2,Swimmer,Threaded|Underdog,
Masquerain,Bug|Flying,8,6,7,11,9,10,Wetlands,1,Small,1,Herbivore,3,Flier,Threaded,
Nincada,Bug|Ground,4,6,9,3,4,4,"Desert, Forest",1,Small,1,Herbivore,2,Burrower|Climber|Slow,Threaded|Underdog,
Ninjask,Bug|Flying,6,10,5,5,5,20,"Desert, Forest",1,Small,2,Herbivore,3,Climber|Flier|Quick,Threaded,
Shedinja,Bug|Ghost,5,11,6,11,7,6,"Desert, Forest",1,Small,2,Nullivore,3,Climber|Flier|Phaser,Darkvision|Threaded,Breathless|Dead Silent
Kricketot,Bug,4,3,4,3,4,3,Forest,1,Small,1,Herbivore,2,Jumper|Slow,Underdog,
Kricketune,Bug,8,9,5,6,5,7,Forest,2,Medium,3,Herbivore,3,Flier|Jumper|Quick,Underdog,Alluring|Repulsive
Burmy,Bug,6,3,7,3,7,4,"Desert, Forest, Urban",1,Small,1,Herbivore,2,Climber|Slow,Threaded|Underdog,
Wormadam Plant,Bug|Grass,6,6,9,8,11,4,"Forest, Grasslands",2,Small,1,Herbivore,3,,Threaded|Underdog,
Wormadam Sandy,Bug|Ground,6,8,11,6,9,4,"Cave, Desert, Mountain",2,Small,1,Herbivore,3,,Threaded|Underdog,
Wormadam Trash,Bug|Steel,6,7,10,7,10,4,Urban,2,Small,1,Herbivore,3,,Threaded|Underdog,
Mothim,Bug|Flying,7,9,5,9,5,7,"Forest, Grasslands",2,Small,2,Herbivore,3,Flier,Threaded|Underdog,
Combee,Bug|Flying,4,4,5,4,5,8,"Forest, Grasslands",1,Small,1,Herbivore,2,Flier,Underdog,
Vespiquen,Bug|Flying,7,8,11,8,11,6,"Forest, Grasslands",3,Medium,3,Herbivore,3,Flier,,
Dwebble,Bug|Rock,5,7,9,4,4,6,Desert,2,Small,2,Herbivore,2,Burrower|Slow,Underdog,
Crustle,Bug|Rock,7,11,13,7,8,5,Desert,5,Medium,6,"Herbivore, Terravore",3,Burrower,Groundshaper,
Karrablast,Bug,5,8,5,4,5,6,Forest,2,Small,1,Herbivore,2,Slow,Underdog,
Escavalier,Bug|Steel,7,14,11,6,11,2,Forest,4,Medium,3,Herbivore,3,Flier,,
Shelmet,Bug,5,4,9,4,7,3,Forest,2,Small,1,Herbivore,2,Slow,Underdog,
Accelgor,Bug,8,7,4,10,7,15,Forest,3,Small,1,Herbivore,3,Quick,,
Joltik,Bug|Electric,5,5,5,6,5,7,"Cave, Forest",1,Small,1,Carnivore,2,Climber,Threaded|Underdog,
Galvantula,Bug|Electric,8,8,6,11,6,12,"Cave, Forest",2,Small,2,Carnivore,3,Climber,Threaded|Underdog,
Larvesta,Bug|Fire,6,9,6,5,6,6,"Cave, Forest",2,Medium,3,Omnivore,2,Slow,Threaded|Underdog,Heater
Volcarona,Bug|Fire,9,6,7,14,11,10,"Cave, Forest",3,Medium,3,Omnivore,3,Flier,Threaded,Heater
Cutiefly,Bug|Fairy,4,5,4,6,4,8,"Forest, Grasslands",1,Small,1,Herbivore,2,Flier|Slow,Underdog,Aura Reader
Ribombee,Bug|Fairy,7,6,6,10,10,12,"Forest, Grasslands",1,Small,1,Herbivore,3,Flier,,Aura Reader
Wimpod,Bug|Water,4,5,5,3,4,9,"Cave, Ocean",1,Small,2,Omnivore,2,Swimmer,Underdog,Gilled
Golisopod,Bug|Water,8,13,14,6,9,4,"Cave, Ocean",8,Large,5,Omnivore,3,Swimmer,,Gilled
Tarountula,Bug,5,5,7,4,6,3,Forest,1,Small,1,Carnivore,2,Climber,Threaded|Underdog,
Spidops,Bug,6,8,9,5,9,4,Forest,3,Medium,2,Carnivore,3,Burrower|Climber,Threaded|Underdog,Dead Silent
Nymble,Bug,4,6,6,2,5,7,Forest,1,Small,1,Omnivore,2,Jumper,Underdog,
Lokix,Bug|Dark,8,12,8,5,8,10,Forest,6,Medium,2,Omnivore,3,Climber|Jumper|Quick,Darkvision,
Rellor,Bug,5,5,7,3,7,3,Desert,1,Small,1,Omnivore,2,Burrower|Slow,Underdog,
Rabsca,Bug|Psychic,9,5,10,12,10,5,Desert,6,Small,1,Omnivore,3,Flier,Telekinetic,Mindlock
Murkrow,Dark|Flying,6,9,4,9,4,9,"Forest, Urban",1,Small,1,Omnivore,2,Flier,Darkvision|Underdog,Pack Mon
Honchkrow,Dark|Flying,10,13,5,11,5,7,"Forest, Urban",4,Small,3,Omnivore,3,Flier,Darkvision,Pack Mon
Sneasel,Dark|Ice,7,12,6,4,8,14,"Cave, Tundra",2,Small,3,Omnivore,2,Climber|Jumper|Quick,Darkvision,
Weavile,Dark|Ice,8,14,7,5,9,15,"Cave, Tundra",3,Medium,3,Omnivore,3,Climber|Jumper|Quick,Darkvision,
Houndour,Dark|Fire,5,6,3,8,5,7,"Grasslands, Mountain",2,Small,1,Carnivore,2,,Darkvision|Underdog,Pack Mon|Tracker
Houndoom,Dark|Fire,8,9,5,11,8,10,"Grasslands, Mountain",5,Medium,3,Carnivore,3,,Darkvision,Pack Mon|Tracker
Poochyena,Dark,5,7,4,4,4,6,Grasslands,2,Small,2,Carnivore,2,,Darkvision|Underdog,Pack Mon|Tracker
Mightyena,Dark,7,9,7,6,6,7,Grasslands,6,Medium,3,Carnivore,3,,Darkvision|Underdog,Pack Mon|Tracker
Purrloin,Dark,5,5,4,5,4,7,Urban,1,Small,1,Carnivore,2,,Darkvision|Underdog,
Liepard,Dark,7,10,6,10,6,12,Urban,4,Medium,3,Carnivore,3,Quick,Darkvision,
Scraggy,Dark|Fighting,5,8,7,4,7,5,"Desert, Urban",3,Small,2,Herbivore,2,,Darkvision|Underdog,Pack Mon
Scrafty,Dark|Fighting,7,9,12,5,12,6,"Desert, Urban",6,Medium,3,Herbivore,3,,Darkvision,Pack Mon
Zorua,Dark,4,7,4,8,4,7,"Forest, Urban",1,Small,2,Omnivore,2,,Darkvision|Underdog,Illusionist|Pack Mon|Tracker
Zoroark,Dark,9,12,7,12,7,12,"Forest, Urban",4,Medium,4,Omnivore,3,,Darkvision,Illusionist|Pack Mon|Tracker
Vullaby,Dark|Flying,7,6,8,5,7,6,"Cave, Mountain",1,Small,1,Carnivore,2,,Darkvision|Underdog,
Mandibuzz,Dark|Flying,11,7,11,6,10,8,"Cave, Mountain",3,Medium,3,Carnivore,3,Flier,Darkvision,
Inkay,Dark|Psychic,5,5,5,5,5,5,"Forest, Ocean",1,Small,1,Carnivore,2,Flier|Swimmer,Telekinetic|Underdog,Gilled|Glow|Mindlock|Telepath
Malamar,Dark|Psychic,9,10,10,7,8,7,"Forest, Ocean",1,Medium,3,Carnivore,3,Flier|Swimmer,Telekinetic,Gilled|Glow|Mindlock|Telepath
Nickit,Dark,5,5,5,5,5,5,"Forest, Urban",2,Small,1,Omnivore,2,,Darkvision|Underdog,
Thievul,Dark,8,11,6,11,9,11,"Forest, Urban",5,Medium,2,Omnivore,3,Quick,Darkvision,
Maschiff,Dark,6,8,6,4,5,5,"Desert, Grasslands",3,Small,2,Carnivore,2,,Darkvision|Underdog,Tracker
Mabosstiff,Dark,8,12,9,6,7,9,"Desert, Grasslands",6,Medium,4,Carnivore,3,,Darkvision,Tracker
Voltorb,Electric,4,3,5,6,6,10,Urban,2,Small,1,Ergovore,2,,Underdog,
Electrode,Electric,6,5,7,9,8,16,Urban,4,Medium,4,Ergovore,3,Quick,,
Electrike,Electric,4,5,4,7,4,7,Grasslands,2,Small,2,Carnivore,2,,Underdog,Pack Mon|Tracker
Manectric,Electric,8,12,6,14,6,12,Grasslands,4,Medium,3,Carnivore,3,Quick,,Pack Mon|Tracker
Blitzle,Electric,5,6,3,5,3,8,Grasslands,4,Small,3,Herbivore,2,,Underdog,Glow
Zebstrika,Electric,8,10,6,8,6,13,Grasslands,7,Medium,4,Herbivore,3,Quick,Mountable,Glow
Helioptile,Normal|Electric,4,4,3,7,5,7,"Cave, Desert",1,Small,1,Phototroph,2,,Underdog,Glow
Heliolisk,Normal|Electric,6,6,5,12,10,12,"Cave, Desert",3,Medium,2,Phototroph,3,Quick,,Glow
Yamper,Electric,6,5,5,4,5,5,"Grasslands, Urban",2,Small,2,Omnivore,2,,Underdog,Pack Mon|Tracker
Boltund,Electric,9,10,6,8,6,12,"Grasslands, Urban",5,Medium,3,Omnivore,3,Quick,,Pack Mon|Tracker
Toxel,Electric|Poison,6,5,5,5,5,4,"Urban, Wetlands",2,Small,2,Omnivore,2,Slow,Underdog,Glow
Toxtricity,Electric|Poison,8,10,7,11,7,8,"Urban, Wetlands",4,Medium,3,Omnivore,3,,,Glow
Tadbulb,Electric,6,3,4,7,4,6,Wetlands,1,Small,1,Omnivore,2,Flier|Swimmer,Underdog,Gilled|Glow
Bellibolt,Electric,12,6,9,10,9,5,Wetlands,4,Medium,5,Omnivore,3,Swimmer,,Glow
Snubbull,Fairy,6,8,5,4,4,3,"Grasslands, Urban",1,Small,1,Carnivore,2,,Underdog,Tracker
Granbull,Fairy,10,13,9,6,7,6,"Grasslands, Urban",5,Medium,3,Carnivore,3,,,Tracker
Spritzee,Fairy,8,5,6,6,7,2,Forest,1,Small,1,Herbivore,2,Flier,Underdog,Alluring|Repulsive
Aromatisse,Fairy,10,7,8,11,11,4,Forest,2,Small,2,Herbivore,3,Flier,,Alluring|Repulsive
Swirlix,Fairy,6,5,7,6,6,5,Forest,1,Small,1,Herbivore,2,,Threaded|Underdog,Alluring
Slurpuff,Fairy,8,9,9,9,9,7,Forest,2,Small,1,Herbivore,3,,Threaded,Alluring|Tracker
Milcery,Fairy,5,4,5,6,7,3,Urban,1,Small,1,Herbivore,2,Flier,Underdog,Alluring|Amorphous
Alcremie,Fairy,7,6,8,12,12,6,Urban,2,Small,1,Herbivore,3,Flier,,Alluring|Amorphous
Fidough,Fairy,4,6,7,3,6,7,Urban,2,Small,1,Omnivore,2,,Underdog,Tracker
Dachsbun,Fairy,6,9,12,5,9,10,Urban,4,Small,2,Omnivore,3,,,Alluring|Heater|Tracker
Mankey,Fighting,4,8,4,4,5,7,"Forest, Mountain",4,Small,3,Omnivore,2,Climber|Jumper,Underdog,
Primeape,Fighting,8,13,7,6,7,13,"Forest, Mountain",6,Medium,3,Omnivore,3,Climber|Jumper,,
Annihilape,Fighting|Ghost,11,12,8,5,9,9,"Forest, Mountain",6,Medium,4,Carnivore,3,Climber|Jumper,,
Tyrogue,Fighting,5,5,5,5,5,5,"Grasslands, Urban",4,Small,2,Omnivore,2,,Underdog,
